教父3,1990,9.0,342322人评价
怪兽电力公司,2001,8.8,619057人评价
玛丽和马克思,2009,8.9,402685人评价
一个叫欧维的男人决定去死,2015,8.9,426483人评价
寄生虫,2019,8.8,1278218人评价
玩具总动员3,2010,8.9,475943人评价
傲慢与偏见,2005,8.7,735880人评价
未麻的部屋,1997,9.1,296456人评价
大鱼,2003,8.8,534521人评价
神偷奶爸,2010,8.6,889754人评价
告白,2010,8.8,635276人评价
釜山行,2016,8.6,1112529人评价
被解救的姜戈,2012,8.8,566138人评价
阳光姐妹淘,2011,8.8,563751人评价
射雕英雄传之东成西就,1993,8.7,592939人评价
哈利·波特与火焰杯,2005,8.7,590738人评价
哪吒闹海,1979,9.1,238626人评价
我是山姆,2001,9.0,313459人评价
恐怖直播,2013,8.7,607751人评价
新世界,2013,8.9,375749人评价
头号玩家,2018,8.7,1276908人评价
血战钢锯岭,2016,8.7,738190人评价
模仿游戏,2014,8.8,598800人评价
喜宴,1993,9.0,328082人评价
七武士,1954,9.3,182030人评价
花样年华,2000,8.7,554100人评价
黑客帝国3：矩阵革命,2003,8.8,418837人评价
头脑特工队,2015,8.8,563798人评价
电锯惊魂,2004,8.8,491605人评价
九品芝麻官,1994,8.7,610328人评价
三块广告牌,2017,8.7,770219人评价
达拉斯买家俱乐部,2013,8.8,424136人评价
你的名字。,2016,8.5,1294132人评价
卢旺达饭店,2004,8.9,304537人评价
疯狂原始人,2013,8.7,789044人评价
惊魂记,1960,9.0,260403人评价
上帝之城,2002,9.0,283695人评价
谍影重重3,2007,8.8,392340人评价
心迷宫,2014,8.7,478284人评价
英雄本色,1986,8.6,495877人评价
风之谷,1984,8.9,335678人评价
纵横四海,1991,8.8,391379人评价
海街日记,2015,8.8,412569人评价
色，戒,2007,8.6,708576人评价
岁月神偷,2010,8.7,548557人评价
记忆碎片,2000,8.7,565518人评价
忠犬八公物语,1987,9.2,179793人评价
爱在午夜降临前,2013,8.9,361409人评价
绿里奇迹,1999,8.9,298670人评价
荒蛮故事,2014,8.8,411573人评价
茶馆,1982(中国大陆),9.5,113357人评价
爆裂鼓手,2014,8.7,540820人评价
小偷家族,2018,8.7,767817人评价
贫民窟的百万富翁,2008,8.6,704625人评价
无敌破坏王,2012,8.7,499099人评价
疯狂的石头,2006,8.5,760162人评价
东邪西毒,1994,8.6,541560人评价
真爱至上,2003,8.6,682133人评价
冰川时代,2002,8.6,574117人评价
雨中曲,1952,9.1,202545人评价
恐怖游轮,2009,8.5,785443人评价
你看起来好像很好吃,2010,8.9,312127人评价
黑天鹅,2010,8.6,744547人评价
2001太空漫游,1968,8.9,290952人评价
魔女宅急便,1989,8.7,426261人评价
无间道2,2003,8.7,429124人评价
雨人,1988,8.7,379582人评价
遗愿清单,2007,8.7,411487人评价
牯岭街少年杀人事件,1991,8.9,266361人评价
恋恋笔记本,2004,8.6,624171人评价
大佛普拉斯,2017,8.7,411827人评价
可可西里,2004,8.9,281164人评价
城市之光,1931,9.3,132846人评价
背靠背，脸对脸,1994,9.5,110199人评价
小丑,2019,8.7,937135人评价
东京教父,2003,9.0,197186人评价
源代码,2011,8.5,784026人评价
萤火虫之墓,1988,8.7,385662人评价
虎口脱险,1966,8.9,235566人评价
初恋这件小事,2010,8.5,933003人评价
人工智能,2001,8.7,413747人评价
海边的曼彻斯特,2016,8.6,473685人评价
罗生门,1950,8.8,291308人评价
青蛇,1993,8.6,487125人评价
终结者2：审判日,1991,8.8,318640人评价
波西米亚狂想曲,2018,8.6,557692人评价
心灵奇旅,2020,8.7,889634人评价
奇迹男孩,2017,8.6,522456人评价
二十二,2015,8.7,277718人评价
疯狂的麦克斯4：狂暴之路,2015,8.6,490073人评价
新龙门客栈,1992,8.7,411990人评价
房间,2015,8.8,351526人评价
无耻混蛋,2009,8.6,441109人评价
千钧一发,1997,8.8,267842人评价
血钻,2006,8.7,353003人评价
彗星来的那一夜,2013,8.5,522856人评价
黑客帝国2：重装上阵,2003,8.7,379328人评价
魂断蓝桥,1940,8.8,258737人评价
步履不停,2008,8.8,258558人评价
崖上的波妞,2008,8.6,448963人评价
战争之王,2005,8.7,339661人评价
爱乐之城,2016,8.4,815940人评价
谍影重重2,2004,8.7,329213人评价
燃情岁月,1994,8.8,269480人评价
末路狂花,1991,8.9,220792人评价
火星救援,2015,8.5,667509人评价
阿飞正传,1990,8.5,472401人评价
再次出发之纽约遇见你,2013,8.6,400895人评价
谍影重重,2002,8.6,396222人评价
千年女优,2001,8.8,237215人评价
海洋,2009,9.1,151095人评价
朗读者,2008,8.6,432518人评价
穿越时空的少女,2006,8.6,360084人评价
香水,2006,8.5,514933人评价
地球上的星星,2007,8.9,192392人评价
我爱你,2011,9.1,154949人评价
完美陌生人,2016,8.5,496338人评价
花束般的恋爱,2021,8.6,486241人评价
弱点,2009,8.7,271196人评价
哈利·波特与死亡圣器(上),2010,8.5,509886人评价
