教父3,1990,9.0,342096人评价
怪兽电力公司,2001,8.8,618674人评价
玛丽和马克思,2009,8.9,402528人评价
一个叫欧维的男人决定去死,2015,8.9,426151人评价
寄生虫,2019,8.8,1277541人评价
玩具总动员3,2010,8.9,475658人评价
傲慢与偏见,2005,8.7,735474人评价
未麻的部屋,1997,9.1,296146人评价
大鱼,2003,8.8,534256人评价
神偷奶爸,2010,8.6,889210人评价
告白,2010,8.8,635055人评价
釜山行,2016,8.6,1111905人评价
被解救的姜戈,2012,8.8,565805人评价
阳光姐妹淘,2011,8.8,563554人评价
射雕英雄传之东成西就,1993,8.7,592676人评价
哈利·波特与火焰杯,2005,8.7,590260人评价
哪吒闹海,1979,9.1,238474人评价
我是山姆,2001,9.0,313243人评价
恐怖直播,2013,8.7,607450人评价
新世界,2013,8.9,375244人评价
头号玩家,2018,8.7,1276254人评价
血战钢锯岭,2016,8.7,737852人评价
模仿游戏,2014,8.8,598450人评价
喜宴,1993,9.0,327834人评价
七武士,1954,9.3,181929人评价
花样年华,2000,8.7,553745人评价
黑客帝国3：矩阵革命,2003,8.8,418651人评价
头脑特工队,2015,8.8,563457人评价
电锯惊魂,2004,8.8,491301人评价
九品芝麻官,1994,8.7,609823人评价
三块广告牌,2017,8.7,769870人评价
达拉斯买家俱乐部,2013,8.8,423935人评价
你的名字。,2016,8.5,1293383人评价
卢旺达饭店,2004,8.9,304347人评价
疯狂原始人,2013,8.7,788683人评价
惊魂记,1960,9.0,260175人评价
上帝之城,2002,9.0,283546人评价
谍影重重3,2007,8.8,392158人评价
心迷宫,2014,8.7,477936人评价
英雄本色,1986,8.6,495574人评价
风之谷,1984,8.9,335545人评价
纵横四海,1991,8.8,391145人评价
海街日记,2015,8.8,412330人评价
色，戒,2007,8.6,707316人评价
岁月神偷,2010,8.7,548303人评价
记忆碎片,2000,8.7,565278人评价
忠犬八公物语,1987,9.2,179667人评价
爱在午夜降临前,2013,8.9,361090人评价
绿里奇迹,1999,8.9,298474人评价
荒蛮故事,2014,8.8,411372人评价
茶馆,1982(中国大陆),9.5,113123人评价
爆裂鼓手,2014,8.7,540495人评价
小偷家族,2018,8.7,767525人评价
贫民窟的百万富翁,2008,8.6,704296人评价
无敌破坏王,2012,8.7,498807人评价
疯狂的石头,2006,8.5,759700人评价
东邪西毒,1994,8.6,541346人评价
真爱至上,2003,8.6,681879人评价
冰川时代,2002,8.6,573844人评价
雨中曲,1952,9.1,202416人评价
恐怖游轮,2009,8.5,784895人评价
你看起来好像很好吃,2010,8.9,311984人评价
黑天鹅,2010,8.6,744295人评价
2001太空漫游,1968,8.9,290729人评价
魔女宅急便,1989,8.7,426011人评价
无间道2,2003,8.7,428729人评价
雨人,1988,8.7,379422人评价
遗愿清单,2007,8.7,411148人评价
牯岭街少年杀人事件,1991,8.9,266125人评价
恋恋笔记本,2004,8.6,623820人评价
大佛普拉斯,2017,8.7,411494人评价
可可西里,2004,8.9,280976人评价
城市之光,1931,9.3,132752人评价
背靠背，脸对脸,1994,9.5,110055人评价
小丑,2019,8.7,936623人评价
东京教父,2003,9.0,196940人评价
源代码,2011,8.5,783694人评价
萤火虫之墓,1988,8.7,385521人评价
虎口脱险,1966,8.9,235449人评价
初恋这件小事,2010,8.5,932658人评价
人工智能,2001,8.7,413532人评价
海边的曼彻斯特,2016,8.6,473273人评价
罗生门,1950,8.8,291137人评价
青蛇,1993,8.6,486870人评价
终结者2：审判日,1991,8.8,318495人评价
波西米亚狂想曲,2018,8.6,557342人评价
心灵奇旅,2020,8.7,888969人评价
奇迹男孩,2017,8.6,522206人评价
二十二,2015,8.7,277582人评价
疯狂的麦克斯4：狂暴之路,2015,8.6,489855人评价
新龙门客栈,1992,8.7,411777人评价
房间,2015,8.8,351411人评价
无耻混蛋,2009,8.6,440881人评价
千钧一发,1997,8.8,267648人评价
血钻,2006,8.7,352765人评价
彗星来的那一夜,2013,8.5,522480人评价
黑客帝国2：重装上阵,2003,8.7,379144人评价
魂断蓝桥,1940,8.8,258587人评价
步履不停,2008,8.8,258385人评价
崖上的波妞,2008,8.6,448582人评价
战争之王,2005,8.7,339439人评价
爱乐之城,2016,8.4,815266人评价
谍影重重2,2004,8.7,329047人评价
